,index,Intercept,ex_long,ex_short_L1,ex_short_L2,ex_short_L3,hs2,hs2_name,p_Intercept,p_ex_long,p_ex_short_L1,p_ex_short_L2,p_ex_short_L3,count
26,20,3.282978517484593,0.24746095558982903,1.5406386002999541,-0.25837257575324335,-0.5943155568495804,20,Preparations of vegetables  fruit  nuts or other parts of plants.,0.012245511878679505,0.49209927224684424,0.005773861304908312,0.749764404692558,0.701071777303087,2241
27,26,6.273076162484532,0.21663081634924858,1.219894675213258,0.942061600604089,1.487234798438007,26,Ores  slag and ash.,0.08445697005746489,0.7133622354277054,0.3833938594049222,0.6749402595570286,0.6885984001321759,1049
28,19,0.5520808130471324,0.21654688434157598,0.2199761693882821,-0.11782555903500651,-0.16978495819621317,19,Preparations of cereals  flour  starch or milk; pastrycooks' products.,0.1436763806686605,0.014203896425670104,0.05699945677023388,0.5837166764668127,0.6670070954577199,4269
29,36,-2.0626700787535404,0.21552559867231116,-0.33212315719629804,0.3119874405084643,-4.710231596174363,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.,0.5088728956718995,0.8945622812522753,0.5859751560511779,0.7377673571961636,0.011454988942632971,1222
30,66,10.505000850046475,0.20289468783163336,-0.570725664088968,-0.9752623357237309,6.521392617463142,66,Umbrellas  sun umbrellas  walking-sticks  seat-sticks  whips  riding-crops and parts thereof.,0.16260841683602067,0.8677677595583808,0.7572988945018917,0.6043966031371952,0.010727143246140658,438
31,72,-0.0630058200540446,0.19922237026559447,0.4481358623496221,0.4117956216736644,1.113424536784132,72,Iron and steel.,0.9045483792572382,0.03718345653171884,0.050299271812386914,0.3368801802237249,0.1975785085701811,3641
32,92,0.9622795315313006,0.1786438857415641,0.1903779691079458,0.04469970437902623,0.616142349358236,92,Musical instruments; parts and accessories of such articles.,0.033406592863142404,0.027888208530636227,0.0699281276107202,0.7929473691734907,0.0708717145039508,3571
33,35,3.0656751158662536,0.15363391785063502,-0.10495659425487991,-0.1539138138694852,0.692941901184039,35,Albuminoidal substances; modified starches; glues; enzymes.,7.685737579699037e-08,0.04069118901160462,0.5352638865767272,0.5567216901601046,0.24666186686866665,3344
34,54,0.4141157226980222,0.15294058114832948,-0.002131760085403619,0.22834185179565905,-0.5913438601226173,54,Man-made filaments; strip and the like of man-made textile materials.,0.3991848974582406,0.07179211207731018,0.9870460891640116,0.2839134052654426,0.2035653551630321,3641
35,11,2.962240785661253,0.14987507005631576,-0.23545746302121198,0.5883504514848988,2.9544596284947424,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,0.20682250399380142,0.7910315838682913,0.7270124538017617,0.5714579038661949,0.22438166443172314,1260
36,21,2.794595307087081,0.1398032540106923,0.18184637980293447,1.3438152850810472,3.414836700784569,21,Miscellaneous edible preparations.,0.00218234485188451,0.455724018849081,0.39328577074842386,0.0018958155515595987,0.034775356283044845,3074
37,90,1.391748312017196,0.13812081669834064,0.019798681960838872,0.28966211332695,1.0089135824256494,90,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,3.609664871251361e-05,0.023401431765253555,0.8685137525639479,0.15594697431933158,0.016929737787035215,4291
38,29,1.7059160785543468,0.13349253047763004,0.12869500035162973,0.204633696449293,-0.21065583627177378,29,Organic chemicals.,0.00026131710828947163,0.13137392446258578,0.2918848724006815,0.23521250904686197,0.5335061465497226,3706
