,index,Intercept,ex_long,ex_short_L1,ex_short_L2,ex_short_L3,hs2,hs2_name,p_Intercept,p_ex_long,p_ex_short_L1,p_ex_short_L2,p_ex_short_L3,count
22,13,0.1137691494292501,0.2645828256261831,0.37363677592541167,1.5903377124091556,1.9869986120409056,13,Lac; gums  resins and other vegetable saps and extracts.,0.11826343013369178,0.10112228911064203,0.13831040437094733,0.0625130398132725,0.8479812858448537,2176
23,91,1.5757222135268536,0.2617970374328595,0.28065687265559447,0.3182130171519927,0.3428719970068026,91,Clocks and watches and parts thereof.,0.18073158295308311,0.7514513118534196,0.1599387830709671,0.7907920612935264,0.4182549364768495,2253
24,61,1.5049835149025081,0.2577418774938189,0.30534866273519945,0.033100818260333974,0.4737108532507151,61,Articles of apparel and clothing accessories  knitted or crocheted.,0.043237295004783016,0.19064978045476955,0.002674476039994156,0.02615946841837813,0.00042540356070075447,3753
25,42,1.9842753633918737,0.257556078764148,0.11724017291278392,0.2284842521067705,0.3636052472906871,42,Articles of leather; saddlery and harness; travel goods  handbags and similar containers; articles of animal gut (other than silk-worm gut).,0.0010614053596613715,0.5933974783830069,0.892391535472201,0.21304023117019844,0.7304168656700658,3290
26,20,3.282978517484593,0.24746095558982903,1.5406386002999541,-0.25837257575324335,-0.5943155568495804,20,Preparations of vegetables  fruit  nuts or other parts of plants.,0.005421596310135612,0.17934007663184648,0.6731026795084634,0.09361352839946879,0.9218339849545476,3088
27,26,6.273076162484532,0.21663081634924858,1.219894675213258,0.942061600604089,1.487234798438007,26,Ores  slag and ash.,0.08931333775555972,0.7019766642356773,0.3272201524165732,0.040796596391291295,0.8802694816161627,2034
28,19,0.5520808130471324,0.21654688434157598,0.2199761693882821,-0.11782555903500651,-0.16978495819621317,19,Preparations of cereals  flour  starch or milk; pastrycooks' products.,0.010455991477553495,0.0045893625955575335,5.51725370345757e-06,0.7000148195834166,0.16407184698337796,2554
29,36,-2.0626700787535404,0.21552559867231116,-0.33212315719629804,0.3119874405084643,-4.710231596174363,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.,0.18171960697997336,0.30559412134612773,0.7088844363095763,0.8999066702767513,0.12608468037206433,1219
30,66,10.505000850046475,0.20289468783163336,-0.570725664088968,-0.9752623357237309,6.521392617463142,66,Umbrellas  sun umbrellas  walking-sticks  seat-sticks  whips  riding-crops and parts thereof.,0.01586254825798461,0.41951050683087066,0.6280085210015516,0.1790003981606425,0.9618400822874527,1094
31,72,-0.0630058200540446,0.19922237026559447,0.4481358623496221,0.4117956216736644,1.113424536784132,72,Iron and steel.,7.211360211245577e-05,0.006610777262967327,0.1682344766273809,0.18775411009450327,0.1415253254659261,2856
32,92,0.9622795315313006,0.1786438857415641,0.1903779691079458,0.04469970437902623,0.616142349358236,92,Musical instruments; parts and accessories of such articles.,0.15176111528943315,0.9740325590018872,0.2963430146163435,0.6779397060272654,0.027632224109289893,2580
33,35,3.0656751158662536,0.15363391785063502,-0.10495659425487991,-0.1539138138694852,0.692941901184039,35,Albuminoidal substances; modified starches; glues; enzymes.,0.6427997275292139,0.4236585075597721,0.0021308181517061264,0.7279276147442137,0.023199598152008116,2541
34,54,0.4141157226980222,0.15294058114832948,-0.002131760085403619,0.22834185179565905,-0.5913438601226173,54,Man-made filaments; strip and the like of man-made textile materials.,0.8899160974743667,0.8043680937875737,0.32353135936459654,0.05780762153629482,0.2062586840591354,1926
35,11,2.962240785661253,0.14987507005631576,-0.23545746302121198,0.5883504514848988,2.9544596284947424,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,0.297664866694066,0.8765876377204966,0.6159780177311092,0.1562425901236324,0.6282624985583221,2159
36,21,2.794595307087081,0.1398032540106923,0.18184637980293447,1.3438152850810472,3.414836700784569,21,Miscellaneous edible preparations.,0.007606601139029667,0.05030646660041471,0.22108824967438956,0.37362388792701573,0.5193592378744047,3000
37,90,1.391748312017196,0.13812081669834064,0.019798681960838872,0.28966211332695,1.0089135824256494,90,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,0.00045700094839529193,0.9200823603151533,0.00016600925852716664,5.406212366665386e-09,0.00012240061765367294,3736
38,29,1.7059160785543468,0.13349253047763004,0.12869500035162973,0.204633696449293,-0.21065583627177378,29,Organic chemicals.,0.022598148582506195,0.63201903217736,0.1897075927598706,0.9411139842725913,0.6661501143297328,3405
39,12,2.1511474439586653,0.12933567180085015,0.013252928829919835,0.028428072429424606,0.2681431497592814,12,Oil seeds and oleaginous fruits; miscellaneous grains  seeds and fruit; industrial or medicinal plants; straw and fodder.,0.008064774527745788,0.35571651268016025,0.00020623554561338686,0.7859867259417284,0.4845201850871734,3050
40,46,-0.7051578734907791,0.12766920197426135,1.9274401967597325,4.141699762489023,8.72601746916016,46,Manufactures of straw  of esparto or of other plaiting materials; basketware and wickerwork.,0.018172445569826445,0.0279620782626131,0.02886069943353209,0.7910383736008306,0.7864985341873001,1175
41,45,0.6839088487298197,0.11617067338508047,0.2156777601916519,-1.2266797171444028,-0.8932151413251128,45,Cork and articles of cork.,0.5870121456125164,0.8682527132759112,0.0528167095829577,0.15281020007585666,0.49883348199729327,777
42,38,1.4197764417956618,0.11604341991549237,0.18872068939370001,0.1713293918891939,0.1222643374548759,38,Miscellaneous chemical products.,0.06250256796334042,0.35551050602405443,0.0027700264818353304,0.0037462599420081677,0.08599351965530477,2933
43,84,2.000087860914345,0.1111587387009314,0.18621549676978136,0.05238235238480263,1.28078131602016,84,Machines,0.00966107454463594,0.24075075918287392,0.0022653721955707695,0.1341187607619776,0.12442683560547851,3745
44,96,1.1044560929816152,0.104334772546467,0.2293046851068312,0.2941938817362429,-0.3993275697698959,96,Miscellaneous manufactured articles.,0.0028705993197581936,0.7649200633682955,0.013305999767173171,0.08444231535830249,0.04339432270063792,2796
45,37,0.8199735091751897,0.09762972011040973,0.26608909126639124,0.0002006235616856227,-0.26734778641026846,37,Photographic or cinematographic goods.,0.8142918423721024,0.9112744183577737,0.6507325991388146,0.326575354092951,0.39467022486502534,1534
46,68,1.2174658102509923,0.08674428594610076,0.25097230673119,0.4467816600881491,-0.023854600602496286,68,Articles of stone  plaster  cement  asbestos  mica or similar materials.,0.0030237555337846445,0.5847502995942788,0.10696648645180273,0.2995196676706615,0.37282874016923717,2877
47,81,-0.317406963434784,0.07214776524468294,1.1712989294955547,-0.7136021617816886,0.1310242307015689,81,Other base metals; cermets; articles thereof.,0.026760501853973384,0.35854607805349525,0.11707336213555175,0.0034479768728696847,0.25225933458371563,3062
48,34,2.586878534686929,0.06767413214908598,0.1320212242607,0.1996488907936534,-0.06753567036843244,34,Soap  organic surface-active agents  washing preparations  lubricating preparations  artificial waxes  prepared waxes  polishing or scouring preparations  candles and similar articles  modelling pastes  dental waxes and dental preparations with a basis of plaster.,0.16206672679263723,0.1867601638720755,3.644525293555745e-06,0.9410087557998958,0.6804365730629276,2560
49,33,2.4298358035477388,0.06658836672947603,0.023845039938139762,0.06304537116400974,0.3141583940115344,33,Essential oils and resinoids; perfumery  cosmetic or toilet preparations.,0.9891566434092978,0.05178651546689195,0.08755592040623128,0.3140172936646004,0.12499816407219067,3007
50,76,2.1624542177468107,0.06053105536739062,-0.6115317694761847,0.2611108138349752,-0.8962162865791737,76,Aluminium and articles thereof.,0.05802077778903092,0.41702768899239984,0.3218632669132282,0.351354954773754,0.80338612458338,3254
51,82,3.1168729425009047,0.04883861679062142,0.31595802642836823,0.5743954261727267,-0.20184216598668453,82,Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,0.8710482787274927,0.45315532643057144,0.129232428652982,0.10250817288753411,0.3485715714832156,2827
52,40,0.7881709157131197,0.037641390592365945,0.17379417463373567,0.21375119515237362,0.2925889632003638,40,Rubber and articles thereof.,0.00068602462769074,0.016595889928658014,0.9788828568146068,0.03663320114151425,0.4216239773190491,3348
53,58,0.466720153393111,0.03485226111272366,-0.7203833567587326,0.1412379746497516,-1.2702147569908024,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,0.3212831693280327,0.2075746445018405,0.09392464102412124,0.593789399406706,0.3147576887897694,1838
54,39,1.5358800814117082,0.03470177582654681,0.09413095582437005,0.27282847529290705,-0.41111608750981754,39,Plastics and articles thereof.,0.019804651449179866,0.7874002264693243,0.11712249077899539,0.12700574980316803,0.6856689342696412,3371
55,49,0.7894821234551274,0.015067359663538562,0.08787365917152469,-0.05698576410776277,-0.38442404873054653,49,Printed books  newspapers  pictures and other products of the printing industry; manuscripts  typescripts and plans.,1.7821305871024151e-06,6.189083501251247e-07,0.011217811817120449,0.006971422777388714,0.19340823682261976,2830
56,48,1.0343607856212322,0.013319009575568024,0.39550893413126537,-0.05177190002652639,2.141495141390701,48,Paper and paperboard; articles of paper pulp  of paper or of paperboard.,0.4743932495694614,0.46495127391237534,0.9236769648794481,0.580101858856287,0.3905719790753215,2787
57,74,0.8880131364028668,0.012892712250513116,-0.18453751189582296,0.06622272687504992,-0.8346892869413046,74,Copper and articles thereof.,0.12233124369139636,0.9563972515725165,0.904824471643719,0.2541170872342906,0.23994862582678178,2852
58,55,1.690767295687108,0.007160866982285394,0.20907719278917108,0.07690892509455576,-0.244527861163363,55,Man-made staple fibres.,0.8798093519637216,0.9539842651973747,0.4606980115119026,0.32619931177620565,0.47511687207659925,1727
59,73,3.0632033836719867,-0.0001688000008336311,-0.27252864269575383,0.24295140540771398,0.3705641473318103,73,Articles of iron or steel.,0.8634568549421728,0.11574452413095226,0.9127050166954516,0.10819880474125343,0.8921925683833132,3132
